Filename,Start_Time,End_Time,Valence,Arousal,Filename_Key,Before Valence,Before Arousal,Audionames
/audioFolder1//film-score-emotion-survey/audioFolder1/another_round__druk__schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor_sample_2.mp3,4.099803292266280,5.765793560409980,0.0,0.0,another_round__druk___schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor.mp3,0.0,0.0,anotherrounddrukschubertfantasieinfmolld940fantasyinfminorsample2mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/another_round__druk__schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor_sample_2.mp3,7.148715740069810,8.342607447285880,0.251,-0.274,another_round__druk___schubert_fantasie_in_f_moll_d940_fantasy_in_f_minor.mp3,0.0,0.0,anotherrounddrukschubertfantasieinfmolld940fantasyinfminorsample2mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/alberto_iglesias_claqueta_final_pain_and_glory_sample_2.mp3,2.93151927437642,3.13151927437642,0.337,-0.747,alberto_iglesias_claqueta_final_pain_and_glory.mp3,0.0,0.0,albertoiglesiasclaquetafinalpainandglorysample2mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/alberto_iglesias_claqueta_final_pain_and_glory_sample_2.mp3,7.439092970521540,7.639092970521540,0.227,0.678,alberto_iglesias_claqueta_final_pain_and_glory.mp3,0.337,-0.747,albertoiglesiasclaquetafinalpainandglorysample2mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,0.0203718354430379,0.9545490506329110,0.511,0.226,across_the_ocean_thomas_newman_elemental.mp3,0.0,0.0,acrosstheoceanthomasnewmanelementalsample2mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,1.262937236286920,3.602177742616040,0.586,0.501,across_the_ocean_thomas_newman_elemental.mp3,0.511,0.226,acrosstheoceanthomasnewmanelementalsample2mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,7.463409810126580,9.827966772151900,0.781,0.341,across_the_ocean_thomas_newman_elemental.mp3,0.586,0.501,acrosstheoceanthomasnewmanelementalsample2mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,12.44511445147680,14.9362536919831,0.916,0.731,across_the_ocean_thomas_newman_elemental.mp3,0.781,0.341,acrosstheoceanthomasnewmanelementalsample2mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/across_the_ocean_thomas_newman_elemental_sample_2.mp3,5.235561708860760,6.53682753164557,0.661,0.361,across_the_ocean_thomas_newman_elemental.mp3,0.916,0.731,acrosstheoceanthomasnewmanelementalsample2mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/alan_silvestri__infinity_war_from_avengers_sample_1.mp3,5.438556022070450,5.638556022070450,-0.368,0.703,alan_silvestri___infinity_war_from_avengers.mp3,0.0,0.0,alansilvestriinfinitywarfromavengerssample1mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/alan_silvestri__infinity_war_from_avengers_sample_1.mp3,7.479401022316480,7.6794010223164800,0.667,0.253,alan_silvestri___infinity_war_from_avengers.mp3,-0.368,0.703,alansilvestriinfinitywarfromavengerssample1mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/alan_silvestri__infinity_war_from_avengers_sample_1.mp3,13.01883745155570,13.218837451555700,-0.483,0.253,alan_silvestri___infinity_war_from_avengers.mp3,0.667,0.253,alansilvestriinfinitywarfromavengerssample1mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/alberto_iglesias_claqueta_final_pain_and_glory_sample_1.mp3,12.70625,12.906250000000000,0.732,0.362,alberto_iglesias_claqueta_final_pain_and_glory.mp3,0.227,0.678,albertoiglesiasclaquetafinalpainandglorysample1mp3
/audioFolder1//film-score-emotion-survey/audioFolder1/arrival_johann_johannsson_arrival_sample_2.mp3,3.2843959731543600,3.4843959731543600,0.0,0.0,arrival_jhann_jhannsson_arrival.mp3,0.0,0.0,arrivaljohannjohannssonarrivalsample2mp3
